hour,day,month,weekday,counter
0,5,3,6,9
0,5,4,2,34
0,5,4,3,45
0,5,5,4,11
0,5,5,5,1
0,5,7,3,23
0,5,8,5,17
0,5,8,6,51
0,5,9,1,12
0,5,9,2,22
0,5,10,3,1
0,5,10,4,46
0,5,11,0,44
0,5,11,6,13
0,5,12,1,3
0,5,12,2,4
0,5,12,6,2
0,6,1,3,15
0,6,1,5,15
0,6,2,1,2
0,6,2,6,19
0,6,3,1,1
0,6,4,1,2
0,6,4,3,2
0,6,4,4,15
0,6,5,5,18
0,6,5,6,24
0,6,6,1,15
0,6,6,2,67
0,6,7,3,13
0,6,7,4,23
0,6,8,0,16
0,6,8,6,8
0,6,9,2,8
0,6,11,1,6
0,6,11,2,6
0,6,12,2,14
0,6,12,3,12
0,6,12,4,3
0,7,1,4,3
0,7,1,6,11
0,7,2,2,3
0,7,3,1,4
0,7,3,2,1
0,7,4,5,2
0,7,5,0,17
0,7,5,1,4
0,7,5,6,35
0,7,6,2,12
0,7,6,3,51
0,7,7,4,23
0,7,8,0,4
0,7,8,5,2
0,7,9,4,13
0,7,10,0,6
0,7,10,5,19
0,7,10,6,13
0,7,11,1,15
0,7,11,2,10
0,7,11,3,4
0,7,12,3,17
0,7,12,4,3
0,8,1,0,5
0,8,1,5,58
0,8,2,0,6
0,8,2,1,19
0,8,2,3,3
0,8,3,0,2
0,8,3,2,57
0,8,3,3,3
0,8,4,1,4
0,8,4,5,21
0,8,5,3,4
0,8,5,5,1
0,8,6,4,2
0,8,7,5,49
0,8,8,1,13
0,8,8,2,2
0,8,9,4,9
0,8,9,5,1
0,8,10,0,1
0,8,10,4,2
0,8,10,6,7
0,8,11,2,54
0,8,11,3,1
0,9,1,5,2
0,9,1,6,73
0,9,2,1,2
0,9,3,1,4
0,9,3,4,1
0,9,5,1,3
0,9,5,2,5
0,9,6,4,52
0,9,6,5,3
0,9,7,6,23
0,9,8,0,7
0,9,8,2,21
0,9,9,5,2
0,9,10,1,1
0,9,11,3,25
0,9,12,5,32
0,9,12,6,1
0,10,1,0,3
0,10,1,2,1
0,10,2,3,17
0,10,2,5,1
0,10,3,0,4
0,10,3,4,24
0,10,3,5,2
0,10,4,0,24
0,10,5,2,52
0,10,5,3,39
0,10,6,5,45
0,10,6,6,2
0,10,7,1,1
0,10,8,4,1
0,10,9,0,8
0,10,9,6,31
0,10,10,1,54
0,10,10,2,2
0,10,11,4,28
0,10,11,5,2
0,10,12,0,4
0,10,12,6,22
0,11,1,0,4
0,11,1,1,99
0,11,2,3,2
0,11,2,4,107
0,11,2,6,3
0,11,3,1,4
0,11,3,3,4
0,11,3,5,96
0,11,3,6,1
0,11,4,1,19
0,11,4,6,2
0,11,5,1,4
0,11,5,4,1
0,11,6,0,1
0,11,6,6,67
0,11,7,1,108
0,11,7,2,4
0,11,7,4,4
0,11,8,2,2
0,11,8,4,39
0,11,9,0,57
0,11,9,1,2
0,11,9,5,16
0,11,10,0,5
0,11,10,2,79
0,11,10,3,1
0,11,11,3,2
0,11,11,5,3
0,11,12,5,4
0,12,1,1,4
0,12,1,2,104
0,12,2,4,2
0,12,3,4,3
0,12,3,6,3
0,12,4,2,145
0,12,4,3,4
0,12,5,2,2
0,12,5,4,113
0,12,5,5,1
0,12,6,0,156
0,12,6,1,1
0,12,6,5,4
0,12,7,0,6
0,12,7,2,108
0,12,7,3,3
0,12,7,6,1
0,12,8,2,2
0,12,8,3,2
0,12,8,5,149
0,12,9,1,3
0,12,9,2,1
0,12,9,6,10
0,12,10,1,2
0,12,10,3,8
0,12,10,4,3
0,12,11,0,7
0,12,11,6,165
0,12,12,1,183
0,12,12,2,1
0,13,1,2,4
0,13,1,3,18
0,13,1,5,2
0,13,1,6,7
0,13,2,1,64
0,13,2,2,6
0,13,3,0,18
0,13,3,1,82
0,13,4,3,3
0,13,4,4,22
0,13,6,1,22
0,13,6,2,14
0,13,7,3,29
0,13,7,4,13
0,13,8,0,2
0,13,9,2,12
0,13,9,3,1
0,13,10,4,33
0,13,10,5,9
0,13,11,0,133
0,13,11,1,1
0,13,12,0,7
0,13,12,2,190
0,13,12,3,2
0,14,1,0,6
0,14,1,4,9
0,14,1,6,12
0,14,2,0,21
0,14,2,2,80
0,14,3,1,32
0,14,3,2,93
0,14,3,3,1
0,14,3,6,3
0,14,4,4,6
0,14,4,5,10
0,14,5,0,71
0,14,6,2,31
0,14,6,4,3
0,14,7,4,34
0,14,8,0,19
0,14,8,1,1
0,14,9,1,3
0,14,9,3,17
0,14,9,4,3
0,14,10,6,5
0,14,11,1,87
0,14,11,2,3
0,14,12,1,36
0,14,12,3,72
0,14,12,4,1
0,15,1,0,15
0,15,1,1,8
0,15,2,1,57
0,15,2,3,122
0,15,2,4,2
0,15,3,2,17
0,15,3,3,100
0,15,4,0,6
0,15,4,1,4
0,15,4,6,6
0,15,5,0,25
0,15,5,1,65
0,15,5,2,7
0,15,6,3,14
0,15,7,3,6
0,15,7,5,2
0,15,8,1,32
0,15,8,2,2
0,15,9,4,45
0,15,10,0,11
0,15,10,4,5
0,15,11,0,4
0,15,11,2,111
0,15,11,3,5
0,15,12,2,22
0,15,12,4,78
0,15,12,5,1
0,16,1,1,135
0,16,1,2,12
0,16,2,1,2
0,16,2,2,17
0,16,2,4,85
0,16,3,3,32
0,16,3,4,68
0,16,3,6,4
0,16,4,0,57
0,16,5,1,7
0,16,5,2,38
0,16,6,4,21
0,16,6,5,1
0,16,7,0,8
0,16,8,0,2
0,16,8,2,35
0,16,8,3,1
0,16,9,6,1
0,16,10,0,11
0,16,10,1,12
0,16,11,1,2
0,16,11,3,66
0,16,11,4,10
0,16,12,3,36
0,16,12,5,2
0,16,12,6,1
0,17,1,0,10
0,17,1,2,79
0,17,1,3,14
0,17,2,3,88
0,17,3,4,38
0,17,3,5,1
0,17,4,0,7
0,17,4,1,36
0,17,5,2,10
0,17,5,3,59
0,17,6,0,3
0,17,6,5,6
0,17,6,6,2
0,17,7,0,44
0,17,7,1,2
0,17,8,3,56
0,17,9,0,1
0,17,10,1,13
0,17,10,2,7
0,17,11,0,4
0,17,11,2,2
0,17,11,4,140
0,17,11,5,10
0,17,12,0,2
0,17,12,4,37
0,18,1,0,4
0,18,1,1,38
0,18,1,3,63
0,18,1,4,12
0,18,2,4,49
0,18,2,6,3
0,18,3,0,1
0,18,4,2,30
0,18,4,3,3
0,18,5,1,1
0,18,5,3,2
0,18,5,4,35
0,18,6,0,22
0,18,6,1,5
0,18,7,1,2
0,18,7,2,18
0,18,8,4,6
0,18,8,5,2
0,18,9,0,33
0,18,10,2,29
0,18,10,3,25
0,18,11,3,3
0,18,11,5,8
0,18,11,6,3
0,18,12,0,86
0,18,12,1,6
0,19,1,2,15
0,19,1,4,89
0,19,1,5,5
0,19,2,0,5
0,19,2,1,4
0,19,3,0,103
0,19,4,2,9
0,19,4,3,85
0,19,5,4,5
0,19,6,0,14
0,19,6,1,2
0,19,6,2,2
0,19,7,2,20
0,19,7,3,1
0,19,9,1,18
0,19,9,2,1
0,19,10,1,13
0,19,10,3,14
0,19,10,4,17
0,19,11,0,14
0,19,11,6,3
0,19,12,1,71
0,19,12,2,5
0,20,1,3,37
0,20,1,5,10
0,20,1,6,4
0,20,2,1,75
0,20,2,2,1
0,20,3,0,42
0,20,3,1,58
0,20,4,3,9
0,20,4,4,44
0,20,5,0,2
0,20,5,6,1
0,20,6,1,6
0,20,6,2,19
0,20,6,3,3
0,20,7,3,29
0,20,9,2,41
0,20,9,3,1
0,20,10,4,10
0,20,10,5,18
0,20,11,0,142
0,20,11,1,11
0,20,12,0,15
0,20,12,2,119
0,20,12,3,6
0,21,1,0,8
0,21,1,4,5
0,21,1,6,1
0,21,2,0,4
0,21,2,2,69
0,21,2,3,2
0,21,3,1,40
0,21,3,2,70
0,21,3,4,4
0,21,4,5,13
0,21,5,0,13
0,21,6,0,2
0,21,6,2,33
0,21,6,3,13
0,21,7,4,21
0,21,8,0,52
0,21,8,1,2
0,21,9,3,22
0,21,9,4,1
0,21,10,6,16
0,21,11,1,139
0,21,11,2,20
0,21,12,3,53
0,21,12,4,6
0,21,12,5,1
0,22,1,0,77
0,22,1,1,11
0,22,2,1,28
0,22,2,3,110
0,22,2,4,8
0,22,3,2,21
0,22,3,3,43
0,22,3,4,2
0,22,4,0,2
0,22,4,6,9
0,22,5,0,32
0,22,5,1,12
0,22,6,1,2
0,22,6,3,24
0,22,6,4,1
0,22,8,1,16
0,22,8,2,3
0,22,9,4,31
0,22,9,5,1
0,22,10,0,25
0,22,10,2,4
0,22,11,0,8
0,22,11,2,115
0,22,11,3,12
0,22,12,2,3
0,22,12,4,51
0,22,12,5,3
0,23,1,1,53
0,23,1,2,8
0,23,2,2,43
0,23,2,4,65
0,23,3,3,29
0,23,3,4,88
0,23,3,5,1
0,23,4,0,42
0,23,5,1,23
0,23,5,2,24
0,23,5,6,2
0,23,6,4,23
0,23,7,0,3
0,23,8,2,47
0,23,8,3,2
0,23,9,5,3
0,23,10,0,20
0,23,10,1,23
0,23,11,1,2
0,23,11,3,9
0,23,11,4,6
0,23,12,3,15
0,23,12,5,3
0,23,12,6,4
0,24,1,0,22
0,24,1,2,97
0,24,1,3,10
0,24,2,3,17
0,24,2,5,6
0,24,2,6,2
0,24,3,4,17
0,24,3,5,3
0,24,3,6,1
0,24,4,0,25
0,24,4,1,72
0,24,5,0,1
0,24,5,2,7
0,24,5,3,68
0,24,6,0,5
0,24,7,0,20
0,24,7,1,1
0,24,8,3,62
0,24,8,4,1
0,24,10,1,28
0,24,10,2,23
0,24,11,2,6
0,24,11,4,9
0,24,11,5,4
0,24,12,0,9
0,24,12,6,2
0,25,1,1,30
0,25,1,3,51
0,25,1,4,7
0,25,2,0,1
0,25,2,4,15
0,25,2,6,2
0,25,3,0,1
0,25,3,5,3
0,25,3,6,3
0,25,4,1,10
0,25,4,2,95
0,25,4,3,2
0,25,5,3,14
0,25,5,4,100
0,25,6,0,8
0,25,7,1,15
0,25,7,2,4
0,25,8,4,52
0,25,8,5,1
0,25,9,0,14
0,25,9,1,5
0,25,10,2,76
0,25,10,3,15
0,25,11,5,3
0,25,11,6,3
0,25,12,1,7
0,26,1,2,6
0,26,1,4,84
0,26,1,5,10
0,26,2,0,75
0,26,2,1,1
0,26,3,0,97
0,26,4,2,5
0,26,4,3,49
0,26,5,4,21
0,26,5,5,1
0,26,6,0,17
0,26,6,1,14
0,26,7,2,28
0,26,9,1,12
0,26,9,2,3
0,26,10,3,11
0,26,10,4,24
0,26,11,0,15
0,26,11,6,20
0,26,12,1,3
0,26,12,2,8
0,27,1,3,18
0,27,1,5,6
0,27,1,6,3
0,27,2,1,113
0,27,2,2,1
0,27,3,0,94
0,27,3,1,58
0,27,3,2,2
0,27,4,3,25
0,27,4,4,49
0,27,5,3,5
0,27,6,1,29
0,27,6,2,9
0,27,7,3,24
0,27,8,6,8
0,27,9,2,18
0,27,9,3,3
0,27,10,4,36
0,27,10,5,14
0,27,11,0,120
0,27,11,1,13
0,27,12,0,22
0,27,12,2,44
0,27,12,3,7
0,28,1,0,4
0,28,1,4,12
0,28,1,6,3
0,28,2,0,48
0,28,2,2,83
0,28,2,3,3
0,28,3,1,14
0,28,3,2,75
0,28,3,3,2
0,28,4,4,14
0,28,4,5,9
0,28,6,2,16
0,28,6,3,7
0,28,7,2,2
0,28,7,4,71
0,28,7,5,1
0,28,8,0,52
0,28,8,1,3
0,28,8,3,4
0,28,9,3,13
0,28,9,4,2
0,28,10,6,3
0,28,11,1,205
0,28,11,2,3
0,28,12,1,19
0,28,12,3,25
0,28,12,4,3
0,29,1,0,74
0,29,1,1,7
0,29,2,1,32
0,29,3,2,36
0,29,3,3,70
0,29,3,4,1
0,29,4,1,4
0,29,4,6,8
0,29,5,1,13
0,29,5,2,3
0,29,6,3,9
0,29,6,4,2
0,29,7,6,1
0,29,8,1,62
0,29,8,2,3
0,29,9,2,4
0,29,9,4,23
0,29,10,0,11
0,29,10,6,4
0,29,11,0,6
0,29,11,2,127
0,29,11,3,5
0,29,12,2,7
0,29,12,4,51
0,29,12,5,8
0,30,1,1,81
0,30,1,2,5
0,30,3,3,18
0,30,3,4,61
0,30,3,5,2
0,30,4,0,88
0,30,4,6,5
0,30,5,1,16
0,30,5,2,27
0,30,5,3,2
0,30,6,4,30
0,30,6,5,9
0,30,7,0,1
0,30,7,6,2
0,30,8,2,21
0,30,8,3,1
0,30,9,1,4
0,30,10,0,73
0,30,10,1,2
0,30,10,3,4
0,30,11,1,2
0,30,11,3,118
0,30,12,3,16
0,30,12,5,2
0,30,12,6,3
0,31,1,0,50
0,31,1,2,100
0,31,1,3,7
0,31,3,2,2
0,31,3,4,29
0,31,3,5,7
0,31,3,6,1
0,31,5,2,15
0,31,5,3,32
0,31,7,0,21
0,31,7,1,2
0,31,8,3,18
0,31,8,4,3
0,31,10,1,96
0,31,12,0,6
1,1,1,0,3
1,1,1,1,9
1,1,2,3,151
1,1,2,4,5
1,1,3,2,18
1,1,3,3,110
1,1,3,4,3
1,1,4,0,4
1,1,4,5,15
1,1,4,6,99
1,1,5,0,12
1,1,5,1,83
1,1,5,2,4
1,1,6,1,2
1,1,6,3,22
1,1,6,4,6
1,1,6,5,3
1,1,7,0,3
1,1,7,5,21
1,1,8,1,2
1,1,8,2,65
1,1,8,3,7
1,1,9,5,90
1,1,9,6,9
1,1,10,0,72
1,1,10,1,9
1,1,10,6,18
1,1,11,2,142
1,1,11,3,102
1,1,11,4,7
1,1,12,2,4
1,1,12,4,13
1,1,12,5,75
1,1,12,6,5
1,2,1,1,78
1,2,1,2,10
1,2,1,5,2
1,2,1,6,38
1,2,2,1,2
1,2,2,2,12
1,2,2,4,93
1,2,2,5,4
1,2,3,3,13
1,2,3,5,6
1,2,4,0,22
1,2,4,1,11
1,2,4,6,21
1,2,5,2,91
1,2,5,3,12
1,2,6,5,115
1,2,6,6,12
1,2,7,0,140
1,2,7,1,6
1,2,7,6,21
1,2,8,0,4
1,2,8,2,26
1,2,8,3,70
1,2,8,4,1
1,2,9,5,53
1,2,9,6,129
1,2,10,0,31
1,2,10,1,2
1,2,10,2,1
1,2,11,3,22
1,2,11,4,2
1,2,11,5,2
1,2,12,0,5
1,2,12,5,4
1,2,12,6,101
1,3,1,0,21
1,3,1,2,184
1,3,1,3,5
1,3,2,3,16
1,3,2,5,79
1,3,2,6,1
1,3,3,4,34
1,3,3,5,3
1,3,3,6,1
1,3,4,1,3
1,3,4,2,2
1,3,5,3,99
1,3,5,4,1
1,3,6,0,4
1,3,6,1,4
1,3,6,5,34
1,3,6,6,136
1,3,7,0,36
1,3,7,1,128
1,3,7,2,2
1,3,8,3,17
1,3,8,4,101
1,3,8,5,1
1,3,9,0,81
1,3,9,1,1
1,3,9,6,38
1,3,10,1,26
1,3,10,2,4
1,3,10,6,2
1,3,11,2,2
1,3,11,4,3
1,3,11,6,4
1,3,12,0,116
1,3,12,1,5
1,3,12,4,2
1,4,1,0,2
1,4,1,3,9
1,4,2,0,2
1,4,2,6,49
1,4,3,0,1
1,4,3,5,12
1,4,3,6,80
1,4,4,1,29
1,4,4,2,94
1,4,4,3,4
1,4,5,3,18
1,4,5,4,90
1,4,5,5,1
1,4,6,0,57
1,4,6,1,1
1,4,6,6,27
1,4,7,1,10
1,4,7,2,5
1,4,7,4,4
1,4,8,2,3
1,4,8,5,3
1,4,9,1,115
1,4,9,2,3
1,4,10,2,6
1,4,10,3,115
1,4,10,5,4
1,4,11,5,48
1,4,11,6,127
1,4,12,0,15
1,4,12,1,100
1,5,1,2,20
1,5,1,4,148
1,5,1,6,4
1,5,2,0,135
1,5,2,5,7
1,5,3,0,40
1,5,3,6,43
1,5,4,0,2
1,5,4,2,45
1,5,4,3,139
1,5,5,4,28
1,5,5,5,4
1,5,6,1,4
1,5,7,3,52
1,5,8,5,35
1,5,8,6,92
1,5,9,1,50
1,5,9,2,65
1,5,10,1,2
1,5,10,3,26
1,5,10,4,71
1,5,11,0,88
1,5,11,4,2
1,5,11,6,56
1,5,12,1,48
1,5,12,2,4
1,5,12,6,5
1,6,1,3,38
1,6,1,5,57
1,6,2,1,3
1,6,2,5,4
1,6,2,6,35
1,6,3,1,7
1,6,3,5,2
1,6,4,1,4
1,6,4,4,76
1,6,5,5,43
1,6,5,6,60
1,6,6,1,33
1,6,6,2,138
1,6,7,3,29
1,6,7,4,71
1,6,8,0,35
1,6,8,6,39
1,6,9,2,26
1,6,9,5,4
1,6,11,1,18
1,6,11,5,5
1,6,12,2,54
1,6,12,3,3
1,6,12,5,4
1,7,1,1,4
1,7,1,3,4
1,7,2,2,3
1,7,2,4,4
1,7,2,6,4
1,7,3,2,10
1,7,3,3,9
1,7,4,5,2
1,7,5,0,23
1,7,5,6,61
1,7,6,0,8
1,7,6,2,42
1,7,6,3,9
1,7,7,2,7
1,7,7,4,76
1,7,8,0,3
1,7,8,1,2
1,7,8,2,10
1,7,8,5,4
1,7,9,4,11
1,7,9,5,3
1,7,10,0,6
1,7,10,5,54
1,7,10,6,20
1,7,11,1,69
1,7,11,2,24
1,7,12,1,2
1,7,12,3,28
1,7,12,4,9
1,7,12,5,8
1,8,1,0,2
1,8,1,2,4
1,8,1,5,69
1,8,2,1,59
1,8,3,0,2
1,8,3,2,49
1,8,3,3,1
1,8,4,5,64
1,8,6,1,6
1,8,6,4,1
1,8,7,1,4
1,8,7,5,63
1,8,8,1,48
1,8,8,2,1
1,8,8,4,4
1,8,9,2,2
1,8,9,4,36
1,8,9,5,2
1,8,10,6,44
1,8,11,0,4
1,8,11,2,62
1,8,12,2,4
1,9,1,5,2
1,9,1,6,67
1,9,2,1,8
1,9,2,2,5
1,9,3,3,6
1,9,3,4,2
1,9,4,6,3
1,9,5,1,66
1,9,5,2,1
1,9,6,4,66
1,9,6,5,1
1,9,7,0,1
1,9,7,4,9
1,9,7,6,66
1,9,8,0,4
1,9,8,2,116
1,9,8,5,4
1,9,9,3,2
1,9,10,0,2
1,9,10,1,1
1,9,10,3,4
1,9,11,3,66
1,9,12,5,82
1,9,12,6,3
1,10,1,0,2
1,10,1,2,2
1,10,1,4,4
1,10,2,0,4
1,10,2,3,47
1,10,2,5,2
1,10,3,4,84
1,10,3,5,4
1,10,4,0,96
1,10,4,1,3
1,10,5,0,2
1,10,5,2,65
1,10,5,3,6
1,10,6,3,2
1,10,6,5,91
1,10,6,6,1
1,10,7,1,1
1,10,8,3,2
1,10,8,4,11
1,10,9,0,4
1,10,9,6,68
1,10,10,1,58
1,10,10,2,3
1,10,11,2,5
1,10,11,4,91
1,10,11,5,2
1,10,12,0,1
1,10,12,4,2
1,10,12,6,34
1,11,1,0,6
1,11,1,1,92
1,11,1,3,2
1,11,2,3,4
1,11,2,4,95
1,11,2,6,8
1,11,3,3,4
1,11,3,5,93
1,11,4,1,2
1,11,4,4,4
1,11,4,6,10
1,11,5,1,8
1,11,5,3,3
1,11,5,4,1
1,11,6,0,2
1,11,6,6,154
1,11,7,1,164
1,11,8,2,10
1,11,8,4,128
1,11,8,5,1
1,11,9,0,149
1,11,9,5,2
1,11,10,0,7
1,11,10,2,155
1,11,11,3,4
1,11,12,0,5
1,11,12,1,1
1,12,1,1,18
1,12,1,2,194
1,12,1,4,1
1,12,2,0,1
1,12,2,4,4
1,12,2,5,13
1,12,3,0,1
1,12,3,4,11
1,12,4,2,179
1,12,4,3,3
1,12,4,6,2
1,12,5,4,114
1,12,5,5,1
1,12,6,0,171
1,12,6,1,1
1,12,6,5,6
1,12,7,0,8
1,12,7,2,201
1,12,8,3,10
1,12,8,5,141
1,12,9,1,5
1,12,9,2,1
1,12,9,5,4
1,12,9,6,13
1,12,10,3,13
1,12,10,4,1
1,12,11,0,1
1,12,11,6,193
1,12,12,1,246
1,12,12,2,2
1,13,1,3,18
1,13,1,5,36
1,13,1,6,5
1,13,2,1,89
1,13,2,2,1
1,13,2,6,4
1,13,3,0,71
1,13,3,1,94
1,13,3,2,2
1,13,4,3,39
1,13,4,4,47
1,13,5,6,5
1,13,6,1,51
1,13,6,2,26
1,13,7,3,35
1,13,7,4,25
1,13,8,4,2
1,13,9,0,2
1,13,9,2,91
1,13,10,2,2
1,13,10,4,68
1,13,10,5,3
1,13,11,0,130
1,13,11,1,2
1,13,12,0,22
1,13,12,2,254
1,13,12,3,2
1,14,1,0,5
1,14,1,4,25
1,14,2,0,26
1,14,2,2,112
1,14,2,3,1
1,14,2,6,3
1,14,3,1,20
1,14,3,2,87
1,14,3,3,2
1,14,4,4,39
1,14,4,5,7
1,14,5,0,80
1,14,5,1,3
1,14,6,0,2
1,14,6,2,69
1,14,6,3,8
1,14,6,4,3
1,14,7,2,3
1,14,7,4,59
1,14,7,5,3
1,14,8,0,90
1,14,8,3,4
1,14,9,1,2
1,14,9,3,47
1,14,10,3,2
1,14,10,6,1
1,14,11,1,161
1,14,11,2,3
1,14,12,0,2
1,14,12,1,22
1,14,12,3,115
1,14,12,4,1
1,15,1,0,26
1,15,1,1,11
1,15,1,4,8
1,15,2,1,7
1,15,2,3,124
1,15,2,4,2
1,15,3,2,14
1,15,3,3,109
1,15,3,4,3
1,15,4,6,6
1,15,5,0,46
1,15,5,1,71
1,15,5,2,8
1,15,5,3,4
1,15,6,1,4
1,15,6,3,47
1,15,6,4,21
1,15,7,1,4
1,15,8,1,55
1,15,9,2,2
1,15,9,4,36
1,15,9,5,1
1,15,10,0,8
1,15,11,0,8
1,15,11,2,179
1,15,11,3,8
1,15,12,2,21
1,15,12,4,75
1,15,12,5,3
1,16,1,1,134
1,16,1,2,12
1,16,2,1,2
1,16,2,2,39
1,16,2,4,114
1,16,3,3,47
1,16,3,4,104
1,16,3,5,1
1,16,4,0,81
1,16,5,1,48
1,16,5,2,112
1,16,6,0,4
1,16,6,2,2
1,16,6,4,58
1,16,7,0,2
1,16,7,2,4
1,16,8,2,81
1,16,8,3,8
1,16,9,1,4
1,16,9,3,11
1,16,10,0,69
1,16,10,1,8
1,16,11,1,2
1,16,11,3,117
1,16,11,4,11
1,16,12,2,2
1,16,12,3,46
1,16,12,6,1
1,17,1,0,14
1,17,1,2,153
1,17,1,3,10
1,17,2,3,30
1,17,2,5,3
1,17,3,4,35
1,17,3,5,2
1,17,3,6,2
1,17,4,0,28
1,17,4,1,79
1,17,4,2,3
1,17,5,0,8
1,17,5,2,47
1,17,5,3,112
1,17,6,0,6
1,17,6,1,4
1,17,6,3,2
1,17,6,5,12
1,17,7,0,48
1,17,7,1,8
1,17,8,3,48
1,17,8,4,1
1,17,9,4,4
1,17,9,6,2
1,17,10,1,74
1,17,10,2,11
1,17,11,2,2
1,17,11,4,160
1,17,11,5,8
1,17,12,0,3
1,17,12,4,20
1,17,12,6,5
1,18,1,1,37
1,18,1,3,54
1,18,1,4,10
1,18,2,4,29
1,18,3,0,8
1,18,4,1,34
1,18,4,2,86
1,18,4,3,6
1,18,4,4,4
1,18,5,3,39
1,18,5,4,52
1,18,6,0,10
1,18,6,2,4
1,18,6,4,2
1,18,7,1,46
1,18,7,2,16
1,18,8,0,4
1,18,8,4,101
1,18,8,5,4
1,18,9,0,55
1,18,10,0,9
1,18,10,2,104
1,18,10,3,20
1,18,11,3,4
1,18,11,5,9
1,18,11,6,4
1,18,12,0,131
1,18,12,1,5
1,19,1,2,23
1,19,1,4,105
1,19,1,5,12
1,19,2,0,14
1,19,2,1,1
1,19,3,0,96
1,19,3,1,1
1,19,4,2,47
1,19,4,3,98
1,19,5,4,17
1,19,5,5,1
1,19,6,0,44
1,19,6,1,4
1,19,6,2,3
1,19,7,0,6
1,19,7,2,23
1,19,7,3,20
1,19,9,1,74
1,19,9,4,3
1,19,10,1,6
1,19,10,3,53
1,19,10,4,12
1,19,11,0,12
1,19,11,3,2
1,19,11,6,3
1,19,12,1,93
1,19,12,2,8
1,20,1,2,6
1,20,1,3,17
1,20,1,5,5
1,20,1,6,6
1,20,2,1,103
1,20,2,2,1
1,20,3,0,42
1,20,3,1,119
1,20,3,2,2
1,20,4,3,39
1,20,4,4,85
1,20,5,0,9
1,20,5,6,1
1,20,6,1,53
1,20,6,2,5
1,20,6,4,4
1,20,7,1,9
1,20,7,3,22
1,20,7,4,5
1,20,8,4,5
1,20,8,6,2
1,20,9,0,6
1,20,9,2,106
1,20,9,3,1
1,20,10,2,6
1,20,10,4,79
1,20,10,5,7
1,20,11,0,144
1,20,11,1,19
1,20,11,4,4
1,20,12,0,5
1,20,12,2,95
1,20,12,3,3
1,21,1,0,9
1,21,1,4,30
1,21,2,0,3
1,21,2,2,132
1,21,2,3,2
1,21,3,1,53
1,21,3,2,153
1,21,3,3,1
1,21,4,4,9
1,21,4,5,10
1,21,5,0,84
1,21,6,0,2
1,21,6,2,76
1,21,6,3,4
1,21,7,2,2
1,21,7,4,39
1,21,8,0,71
1,21,8,1,3
1,21,8,3,4
1,21,9,1,2
1,21,9,3,78
1,21,9,4,3
1,21,9,6,1
1,21,10,3,6
1,21,10,6,7
1,21,11,1,115
1,21,11,2,25
1,21,12,0,4
1,21,12,1,17
1,21,12,3,68
1,21,12,4,2
1,22,1,0,134
1,22,1,1,20
1,22,2,1,30
1,22,2,3,115
1,22,2,4,1
1,22,3,2,32
1,22,3,3,95
1,22,3,4,1
1,22,4,6,10
1,22,5,0,49
1,22,5,1,51
1,22,5,3,4
1,22,6,1,4
1,22,6,3,58
1,22,6,4,7
1,22,8,1,55
1,22,8,2,1
1,22,8,4,4
1,22,9,0,4
1,22,9,2,2
1,22,9,4,53
1,22,9,5,2
1,22,10,0,13
1,22,11,0,10
1,22,11,2,146
1,22,11,3,15
1,22,12,1,2
1,22,12,2,6
1,22,12,4,96
1,22,12,5,7
1,23,1,1,147
1,23,1,2,7
